salesanalysis,Design,Category_Code,VOCNO,GROSS_WT1,NETVALUECC1
1,,,59,0.5,5161.9
1,,,59,0.5,5161.9
1,DIAMOND EARRING,ER,59,1,1809.52
1,DIAMOND PENDANT,PN,75,1,4761.9
1,DIAMOND EARRING,ER,75,1,9047.62
1,DIAMOND BANGLE,BN,75,1,13809.52
1,DIAMOND PENDANT,PN,88,1,7619.05
1,DIAMOND EARRING,ER,88,1,9714.29
1,DIAMOND BANGLE,BN,81,1,5952.38
1,DIAMOND BANGLE,BN,81,1,5952.38
1,DIAMOND BANGLE,BN,3,-1,-9047.62
1,DIAMOND RING,RN,80,1,2476.19
1,DIAMOND RING,RN,85,1,8190.48
1,DIAMOND RING,RN,91,1,4571.43
1,DIAMOND BANGLE,BN,13,-1,-8850
1,DIAMOND EARRING,ER,299,1,34311.43
1,DIAMOND RING,RN,302,1,5714.29
1,DIAMOND RING,,302,1,2619.05
1,DIAMOND RING,RN,302,1,4285.71
1,DIAMOND BANGLE,BN,305,1,33371.43
1,DIAMOND EARRING,ER,306,1,6047.62
1,DIAMOND,BT,306,1,2761.9
1,DIAMOND RING,RN,306,1,21714.29
1,DIAMOND RING,,317,1,3333.33
1,GOLD RING,RN,316,1,2857.14
1,DIAMOND EARRING,ER,260,1,14761.9
1,DIAMOND RING,RN,266,1,28152.38
1,DIAMOND RING,RN,266,1,11647.62
1,DIAMOND,BN,271,1,2125.71
1,Multi Tourmaline              ,,300,1,8690.48
1,,,300,2.02,67090.48
1,DIAMOND RING,RN,289,1,2952.38
1,DIAMOND RING,RN,292,1,4761.9
1,DIAMOND RING,RN,5,1,7480
1,DIAMOND EARRING,NK,5,1,2160
1,GOLD NECKLACE,NK,5,1,10427
1,DIAMOND RING,RN,5,1,9640
1,Diamond Ring,,7,1,6105
1,DIAMOND EARRING,ER,5,1,4170
1,,,5,1,6750
1,Multi Tourmaline              ,,5,1,50
1,DIAMOND RING,RN,6,1,73400
1,DIAMOND EARRING,ER,541,1,7619.05
1,DIAMOND PENDANT,PN,534,1,25580.95
1,DIAMOND BRACELET,BT,488,1,3428.57
1,DIAMOND PENDANT,PN,488,1,4047.62
1,DIAMOND EARRING,ER,475,1,13333.33
1,DIAMOND EARRING,ER,27,-1,-13333.33
1,DIAMOND EARRING,ER,482,1,13809.52
1,Multi Tourmaline              ,,477,1,4095.24
1,DIAMOND PENDANT,PN,486,1,2714.29
1,DIAMOND EARRING,ER,486,1,2952.38
1,DIAMOND EARRING,ER,487,1,14380.95
1,Diamond Bangle,,489,1,14285.71
1,DIAMOND EARRING,ER,493,1,4714.29
1,DIAMOND EARRING,ER,493,1,4714.29
1,DIAMOND RING,,493,1,2952.38
1,DIAMOND EARRING,ER,537,1,2857.14
1,DIAMOND BANGLE,BN,537,1,15238.1
1,DIAMOND PENDANT,PN,490,1,4285.71
1,DIAMOND PENDANT,PN,495,1,4114.29
1,DIAMOND RING,RN,497,1,2571.43
1,DIAMOND RING,RN,499,1,4285.71
1,DIAMOND RING,RN,501,1,15142.86
1,DIAMOND ANKLET,AN,513,1,1000
1,DIAMOND BRACELET,BT,520,1,31428.57
1,DIAMOND EARRING,ER,522,1,5238.1
1,DIAMOND PENDANT,PN,535,1,4190.48
1,DIAMOND EARRING,ER,535,1,5190.48
1,DIAMOND BANGLE,BN,543,1,12380.95
1,DIAMOND BANGLE,BN,542,1,26666.67
1,DIAMOND BANGLE,BN,542,1,26666.67
1,DIAMOND RING,RN,504,1,3714.29
